front,back,tags
reply,"No, Mr. Griffiths, I don’t,""replied Clyde quickly, alive at once to the possibilities of this query. <br><br> ""Yes, I think Mason would have a hard time proving that they weren’t made that way,""replied Belknap. <br><br> So I do,""replied Ratterer,""but can’t I have a good time without lappin’ up everything in the place?",theodore-dreiser_an-american-tragedy
girl,"Only to think of being married to such a girl, when all such as this would become an everyday state. <br><br> The girl appears to be not more than twenty-five, five feet five inches tall, and weighs 130 pounds. <br><br> He could not do a thing like that - hit anyone - a girl - Roberta - and when drowning or struggling.",theodore-dreiser_an-american-tragedy
begin,"In spite of himself, he began to tingle with helpless pain - to begin to wish that he could see them. <br><br> And now, not only Sparser but Higby, and this in spite of Clyde, began to show Hortense attention. <br><br> You might as well know a little about this as long as you’re going to begin in the shrinking room.",theodore-dreiser_an-american-tragedy
eye,"""Here’s a dollar bill, son,""said the eye seemingly - and now a hand appeared holding a paper dollar. <br><br> And Alden, after looking at it and wiping his eyes with the back of his hand, announcing:""Yes, sir."" <br><br> Tall, long black cut-a-way coat, wide, black derby pulled low over his eyes, pearl-gray spats, too.",theodore-dreiser_an-american-tragedy
oh,"But instead she merely said:""Oh, I wish you could have been with me all the time in Lycurgus, Mamma. <br><br> Oh, nothing, except she’s been in with about eight different men around here since I’ve been here. <br><br> ""Oh, well, you can’t expect a fellow in my line to get in early always, Ma,""was all Ratterer said.",theodore-dreiser_an-american-tragedy
marry,"I’ve been thinking about it and I don’t see any way out of it unless - unless you, well, marry me. <br><br> No serious consideration of the fact that Roberta then and there was demanding that he marry her. <br><br> Wasn’t it because of her promise to marry him in the fall that he had decided to kill Miss Alden?",theodore-dreiser_an-american-tragedy
mother,"He expected his mother would be as astonished and puzzled as he was - quick and curious for details. <br><br> After an hour, his mother came out, her basket apparently empty, for she held it lightly in her hand. <br><br> For she was dubious as to whether her mother would not consider that her aspirations were a bit high.",theodore-dreiser_an-american-tragedy
connection,"In fact, he had never had occasion to lie in connection with anything so trying - and so despicably. <br><br> And yet because of his vain hope in connection with it, he had chosen to cut himself off in this way. <br><br> Distinctly the problem in connection with him that she had been fearing this long while was upon her.",theodore-dreiser_an-american-tragedy
decide,"But how remarkable that he should be taken up now, just when he had about decided that they would not. <br><br> The hour was to be eight and he decided that for that occasion, anyhow, a reunion would be acceptable. <br><br> Well, we’ll see about that later,""and deciding that unquestionably Clyde was a plotter and a murderer.",theodore-dreiser_an-american-tragedy
sir,"And Alden, after looking at it and wiping his eyes with the back of his hand, announcing:""Yes, sir."" <br><br> ""Yes, sir,""replied Clyde, very deferentially and half bowing in the presence of so great a man. <br><br> ""Well, yes, sir, that is, I wouldn’t say that I like it exactly,""replied Clyde quite honestly.",theodore-dreiser_an-american-tragedy
regard,"They were never together any more without his insisting upon the real depth of her regard for him. <br><br> ""There’s been a distake"" (she meant to say mistake) ""in regard to this bundle upstairs,""she began. <br><br> But he, true to his previous mood in regard to Clyde, was not inclined to share his son’s opinion.",theodore-dreiser_an-american-tragedy
boat,"For that would bring her into the boat again, without his bag, which would be safe and dry on land. <br><br> And none upon the side or bottom of the boat, which had been brought to Bridgeburg for examination. <br><br> But how about the boat now and that bag and his going up to this Finchley girl’s place afterwards?",theodore-dreiser_an-american-tragedy
yes,"""Yes, I think Mason would have a hard time proving that they weren’t made that way,""replied Belknap. <br><br> And Alden, after looking at it and wiping his eyes with the back of his hand, announcing:""Yes, sir."" <br><br> ""Why, yes it is,""she laughed, puzzled, and again just the least bit abashed by the reality of him.",theodore-dreiser_an-american-tragedy
coat,"Could she, by any chance, have the coat for one hundred and fifteen dollars on an easy payment plan? <br><br> Tall, long black cut-a-way coat, wide, black derby pulled low over his eyes, pearl-gray spats, too. <br><br> It’s copied from one of the smartest coats that was in New York last summer before the season opened.",theodore-dreiser_an-american-tragedy
letter,"There was a letter in the girl’s pocket addressed to someone in Biltz, Mimico County, a Mrs. Alden. <br><br> If only he had gone on in that wood at Bear Lake, taking his suit case and Sondra’s letters with him. <br><br> And without hesitancy, therefore, he took the letter and looked at it, then returned it with a smile.",theodore-dreiser_an-american-tragedy
room,"Since he knew that the southeast front room upstairs contained Esta, he proceeded there and knocked. <br><br> She went to a small shabby desk, which was a part of the sparse and colorless equipment of the room. <br><br> ""I need a room for someone who is sick and hasn’t much money, but it’s not so easy to find either.""",theodore-dreiser_an-american-tragedy
moment,"But then, not at that very moment - but in the interim following, the invitation from the Griffiths. <br><br> His jaws moved slightly, then set - because at the moment he became conscious that they were moving. <br><br> Still there was this temporary vacancy, and it was the only one in the whole factory at the moment.",theodore-dreiser_an-american-tragedy
smile,"""The sister of the good-looking Jill,""a cynical and yet amused smile played about her mouth and eyes. <br><br> You’ve got such beautiful eyes, Sondra, and such a lovely mouth and chin, and such a wonderful smile. <br><br> And without hesitancy, therefore, he took the letter and looked at it, then returned it with a smile.",theodore-dreiser_an-american-tragedy
trouble,"His mind was troubled with hard, abrasive thoughts as to what the druggist might think, look or say. <br><br> All the time he was troubled by the notion that his small, round, tight-fitting hat might fall off. <br><br> But anyhow, it wasn’t so very long after that before she got in trouble and then - well - "" ""I see.",theodore-dreiser_an-american-tragedy
suppose,"Do you suppose they’re not going to remember all about you and her when they learn that she is dead? <br><br> I suppose you must have done a lot of dancing before you came here - in Chicago, wasn’t it, or where? <br><br> In the woods, I suppose, waiting for the town to wake up so you wouldn’t look so much out of place.",theodore-dreiser_an-american-tragedy
lake,"The lake - the lake - that you have seen - that I have shown you - is it not ideal for the purpose? <br><br> If only he had gone on in that wood at Bear Lake, taking his suit case and Sondra’s letters with him. <br><br> Charged with the killing of Miss Roberta Alden at Big Bittern Lake in the Adirondacks on July 8 last.",theodore-dreiser_an-american-tragedy
hear,"Besides, it’s not likely yet, didn’t Sondra say she just heard it from Blanche Locke over the phone? <br><br> What sort of a girl was this Sondra Finchley, of whom he had already heard through secret channels? <br><br> How many confessions about this same thing had she not heard in the mission and at street meetings?",theodore-dreiser_an-american-tragedy
hat,"All the time he was troubled by the notion that his small, round, tight-fitting hat might fall off. <br><br> ""Nor when he went through those woods, or changed to another suit and hat, or hid that tripod?"" ""No."" <br><br> (He usually carried an extra hat on a trip because so often, it seemed, something happened to one.)",theodore-dreiser_an-american-tragedy
turn,"Nevertheless, because he had come to mean so much to her, she was by no means inclined to turn back. <br><br> And as advised by Miss Todd, he saw her turn back her sleeves, revealing a pretty pair of forearms. <br><br> You never can tell in these cases how they’re going to turn out and it’s best to be on the safe side.",theodore-dreiser_an-american-tragedy
proceed,"Since he knew that the southeast front room upstairs contained Esta, he proceeded there and knocked. <br><br> He stared defiantly while Roberta, checkmated in this general way, was at a loss as to how to proceed. <br><br> And then to his increasing curiosity, she appeared to look cautiously about before proceeding as before.",theodore-dreiser_an-american-tragedy
mood,"But this waiting - evasion - and so like Clyde, his vacillating, indefinite, uncertain mood, always. <br><br> But he, true to his previous mood in regard to Clyde, was not inclined to share his son’s opinion. <br><br> And there were no difficulties of mood or inhibitions to overcome in connection with any of these girls.",theodore-dreiser_an-american-tragedy
dollar,"""Here’s a dollar bill, son,""said the eye seemingly - and now a hand appeared holding a paper dollar. <br><br> Could she, by any chance, have the coat for one hundred and fifteen dollars on an easy payment plan? <br><br> ""It was a dollar on the train to Gun Lodge and a dollar on the bus for the two of us to Big Bittern.""",theodore-dreiser_an-american-tragedy
youth,"It might be, as it plainly was, that this youth was very superior and indifferent in tone toward him. <br><br> For here was true and poignant love, and in youth true and poignant love is difficult to withstand. <br><br> And what harm, he now asked himself, was there in a poor youth like himself aspiring to such heights?",theodore-dreiser_an-american-tragedy
appear,"""Here’s a dollar bill, son,""said the eye seemingly - and now a hand appeared holding a paper dollar. <br><br> And he must find some way that would appear as accidental and hence as innocent to her as to others. <br><br> The girl appears to be not more than twenty-five, five feet five inches tall, and weighs 130 pounds.",theodore-dreiser_an-american-tragedy
pause,"and at once the identity of the intitials as well as the related euphony of the names gave him pause. <br><br> And then ran after him a little way, eager that he should pause and let her plead with him more. <br><br> He paused and gazed at her sympathetically, yet with a determined and concluded look in his eye.",theodore-dreiser_an-american-tragedy
leave,"And so Roberta left him with a look that conveyed clearly enough the gratitude and delight she felt. <br><br> And yet the second, or the third, or any time until after the Fourth, was no time to leave with her. <br><br> And now here was Esta missing, and here was undoubtedly some such communication as he might have left.",theodore-dreiser_an-american-tragedy
hand,"""Here’s a dollar bill, son,""said the eye seemingly - and now a hand appeared holding a paper dollar. <br><br> She put her hands to her face and bent her head low - and then he knew that she was silently crying. <br><br> The small and large, white and pink and green and brown lodges on every hand, with their boathouses.",theodore-dreiser_an-american-tragedy
explain,"All she had to do, as he explained to her, was to come away with him and be his bride, at once - now. <br><br> However, for varying reasons which she could not quite explain to herself, Clyde appealed to her. <br><br> And there was no charge, as Mr. Squires now explained, for the handsome uniforms the boys wore.",theodore-dreiser_an-american-tragedy
face,"""Yeh, I guess that’s so,""the other assented, taking in the peculiar cast of the boy’s head and face. <br><br> She put her hands to her face and bent her head low - and then he knew that she was silently crying. <br><br> But why should his hands and face be damp all the time now - wet almost, and cold - his knees shaky?",theodore-dreiser_an-american-tragedy
add,"And very much cheered, he got up, and after eyeing his long, thin associate admiringly, added:""Fine!"" <br><br> And turning to Clyde once more, he added:""Now, you don’t want to let those people disturb you, Clyde. <br><br> Well,""he added, after a moment,""they’re spreading out faster than I would if I had their business.",theodore-dreiser_an-american-tragedy
factory,"Still there was this temporary vacancy, and it was the only one in the whole factory at the moment. <br><br> Oh, they don’t - not the factory people - not at all,""put in Dillard,""but most of the church people do. <br><br> Someone was telling me they’re going to build a new factory in Ilion to manufacture shirts alone.",theodore-dreiser_an-american-tragedy
uncle,"Clyde could see that because of the fame of his uncle he was looked upon as a social find, really. <br><br> For after all, his uncle did not look to him to be at all unkindly - quite the reverse - very pleasant. <br><br> And Clyde, after some hesitation, had finally taken the letters and gone to his uncle’s suite once more.",theodore-dreiser_an-american-tragedy
seek,"And yet there was also the truth that in rising he was seeking to save her - even in spite of his hate. <br><br> Mind you, I am not seeking to flout or belittle or reflect in any way on this poor, dead girl. <br><br> He turned as though to go to his wife, while the strong, scar-nosed district attorney sought to detain him.",theodore-dreiser_an-american-tragedy
arm,"He could see it plainly now - squarish, heavy-armed, heavy-backed, some straps at the top and sides. <br><br> And just then, Frank Harriet, with a tennis racquet under his arm, striding across the foreground. <br><br> With a twist he released his body from her arm and started walking briskly down the street in the dark.",theodore-dreiser_an-american-tragedy
ask,"Yet here she was asking him and apparently assuming that he might be able to assist her in this way. <br><br> But you didn’t forget to ask the purser the fare to Sharon, once you got to Three Mile Bay, did you? <br><br> And what harm, he now asked himself, was there in a poor youth like himself aspiring to such heights?",theodore-dreiser_an-american-tragedy
return,"But if so, why had she not returned to her home, at least to notify the family of her presence here? <br><br> And without hesitancy, therefore, he took the letter and looked at it, then returned it with a smile. <br><br> But now she must go first to see his lawyers, next to file her dispatch, after which she would return.",theodore-dreiser_an-american-tragedy
spite,"She laughed jestingly, and Clyde, in spite of the""we was’es""and""I seen’s,""was most vividly impressed. <br><br> In spite of himself, he began to tingle with helpless pain - to begin to wish that he could see them. <br><br> And now, not only Sparser but Higby, and this in spite of Clyde, began to show Hortense attention.",theodore-dreiser_an-american-tragedy
manner,"And yet something in her manner seemed to bring it to him that that was exactly what she was thinking. <br><br> He was not ungenerous or unpleasant in manner, but always striving to maintain a calm and judicial air. <br><br> To be able to talk to a girl after the manner and with the sangfroid of some of these gallants!",theodore-dreiser_an-american-tragedy
write,"Please, please, Clyde, write and tell me that you will be here at the end of the time that you said. <br><br> Lovingly, Bert P.S. This must be your secret and mine until I write you different a little later on. <br><br> Whereupon she wrote him a long letter, urging him to be, oh, so careful of his conduct and associates.",theodore-dreiser_an-american-tragedy
walk,"With a twist he released his body from her arm and started walking briskly down the street in the dark. <br><br> It reminded her of the Mohawk and the walks she and he had taken last summer when they first met. <br><br> She sometimes walked out alone, or sat or stood in front of the mission during its idle or closed hours.",theodore-dreiser_an-american-tragedy
boy,"""Yeh, I guess that’s so,""the other assented, taking in the peculiar cast of the boy’s head and face. <br><br> Only a few weeks ago he was all alone, not a boy friend, scarcely a boy acquaintance in the world! <br><br> Dear Son: I was surprised and so glad to get my boy’s letter and to know that you were alive and safe.",theodore-dreiser_an-american-tragedy
desire,"Think as he would - and however much spiritually he desired to absolve him, was he not actually guilty? <br><br> And these carried back to Sondra, along with certain embellishments by Constance, had the desired effect. <br><br> His eyelids narrowed and his eyes lit with a blazing desire which was quite disturbing to see.",theodore-dreiser_an-american-tragedy
bag,"Then once in Utica, she should check her bag and he would follow her out to the nearest quiet corner. <br><br> For that would bring her into the boat again, without his bag, which would be safe and dry on land. <br><br> At any rate, why such a question when they were carrying two bags and he had brought one? Strange!",theodore-dreiser_an-american-tragedy
observe,"""But I didn’t strike her any vicious blow,""insisted Clyde, now observing Jephson - ""and I can’t say."" <br><br> ""Well, I think that’s very kind of you, father,""observed Mrs. Griffiths, pleasantly and diplomatically. <br><br> And then, as he sat there meditating, the woman suddenly turned to him and observed:""You can go in now.",theodore-dreiser_an-american-tragedy
jury,"And what jury is going to sympathize with him for that or believe that he didn’t want to kill her? <br><br> Could you imagine such stuff being whimpered before a jury, if you hadn’t heard it with your own ears? <br><br> And shocked by the comment - and noting the curious eyes of the jury, Clyde took it in his hand.",theodore-dreiser_an-american-tragedy
fact,"In fact, he had never had occasion to lie in connection with anything so trying - and so despicably. <br><br> It’s the publicly discovered facts in this case that have aroused prejudice, if any has been aroused. <br><br> And the fact that his cousin Gilbert was not present at the moment gave him the courage to say it.",theodore-dreiser_an-american-tragedy
sit,"And then, as these two wandered toward a fallen log which here paralleled the stream, she sat down. <br><br> And then, as he sat there meditating, the woman suddenly turned to him and observed:""You can go in now. <br><br> He sat for minutes in silence - while Clyde, also, in silence and troubled doubt, sat before him.",theodore-dreiser_an-american-tragedy
stand,"She, more than any of the others, stood up with an ignorant, yet somehow respectable air of conviction. <br><br> She sometimes walked out alone, or sat or stood in front of the mission during its idle or closed hours.",theodore-dreiser_an-american-tragedy
door,"Across both windows and the smaller panels in the double door had been painted:""The Door of Hope. <br><br> He drew out his watch again and saying,""I’ll have to be going now, though,""moved toward the door. <br><br> In the next place, as he saw it at the time, it was an open door to a trade - something which he lacked.",theodore-dreiser_an-american-tragedy
parent,"And how much better were the Aldens to his own parents - poor farmers as compared to poor preachers. <br><br> None of the inhibitions which the dominance and possible future opposition of her parents might imply. <br><br> And his own parents so wretched - so poor, preaching on the streets of Kansas City and no doubt Denver.",theodore-dreiser_an-american-tragedy
lie,"In fact, he had never had occasion to lie in connection with anything so trying - and so despicably. <br><br> His one aim first was to convict Clyde of lying as to his possession of either a tripod or a camera. <br><br> About as far from here to that end, I guess,""he lied, stretching the distance by at least eight feet.",theodore-dreiser_an-american-tragedy
present,And the fact that his cousin Gilbert was not present at the moment gave him the courage to say it. <br><br> But Clyde was thinking that of all the girls present none was really so pretty as Hortense - not nearly. <br><br> In his absence the Griffiths Collar and Shirt Company had gone on as though he had been present.,theodore-dreiser_an-american-tragedy
hour,"After an hour, his mother came out, her basket apparently empty, for she held it lightly in her hand. <br><br> Within an hour after his arrival, as Clyde could see, the program for the weekend was already full. <br><br> And besides their two girls are in and out all hours up to twelve, anyhow, and they’re in there often.",theodore-dreiser_an-american-tragedy
bring,"But when it came to anything slightly more private or intimate, she could not bring herself to agree. <br><br> For that would bring her into the boat again, without his bag, which would be safe and dry on land. <br><br> And none upon the side or bottom of the boat, which had been brought to Bridgeburg for examination.",theodore-dreiser_an-american-tragedy
dance,"Well, anyhow, they were giving a dance and they wanted me to take them over because Gil couldn’t go. <br><br> Just because I danced with him up there in the restaurant, is no reason for you to think I’m flirting. <br><br> And what’s more,""added Bella interestedly,""the Finchleys are to have a dance floor over the boathouse.",theodore-dreiser_an-american-tragedy
interested,"Yet, even so, she had never been willing to believe that he might become interested in any of these. <br><br> He understood her situation and was under the impression that the paper would be interested in this. <br><br> Was there by any chance any girl outside of herself in whom he might have become recently interested?",theodore-dreiser_an-american-tragedy
cry,"She put her hands to her face and bent her head low - and then he knew that she was silently crying. <br><br> Twice he had seen her crying, although he said nothing, knowing that she did not want to be noticed. <br><br> Then, as the canoe careened slightly to one side, she dropped to the cushioned seat with a little cry.",theodore-dreiser_an-american-tragedy
fear,"But now, instead of protesting as at first he feared that she might, Roberta was moved to acquiesce. <br><br> Distinctly the problem in connection with him that she had been fearing this long while was upon her. <br><br> Also that he was more generous and considerate than under the circumstances she feared he would be.",theodore-dreiser_an-american-tragedy
strike,"And they would take him back and no one would ever believe that he had not intentionally struck her! <br><br> Was there not one who felt that he might not have done as Mason had said - struck her intentionally? <br><br> ""But I didn’t strike her any vicious blow,""insisted Clyde, now observing Jephson - ""and I can’t say.""",theodore-dreiser_an-american-tragedy
wish,"But instead she merely said:""Oh, I wish you could have been with me all the time in Lycurgus, Mamma. <br><br> In spite of himself, he began to tingle with helpless pain - to begin to wish that he could see them. <br><br> She hesitated at first, for even now she was not so sure that she wished to continue this contact.",theodore-dreiser_an-american-tragedy
thirty,"The Baptist Church socials never last much beyond ten-thirty or eleven, and they’ll be back soon. <br><br> For, after all, he had not seen how he was to raise more than thirty-five dollars this first week anyhow. <br><br> Oh, I know, but then they use their sitting room every night nearly until ten-thirty or eleven.",theodore-dreiser_an-american-tragedy
young,"""But here, young man,""went on the elder, laying off his overcoat and fishing in his trousers pocket. <br><br> Very spry and well-dressed, more like a young society man than anything else, and very standoffish. <br><br> He was so slim, graceful - quite the handsomest of any of the young men on the floor, she thought.",theodore-dreiser_an-american-tragedy
talk,"Don’t act hastily, and above all, don’t talk to anyone outside of Smillie or Gotboy until I see you. <br><br> Next you’re not to talk to anybody - Mason, the sheriff, these jailers, no one - unless I tell you to. <br><br> For no doubt, as he now argued with himself, Smillie, having talked with Mason, would think him guilty.",theodore-dreiser_an-american-tragedy
suddenly,"And yet here, suddenly, Mrs. Griffiths, very lorn and miserable and maintaining her son’s innocence. <br><br> And then, as he sat there meditating, the woman suddenly turned to him and observed:""You can go in now. <br><br> She returned to her bench, her face showing all the unhappiness that had suddenly overtaken her.",theodore-dreiser_an-american-tragedy
near,"""It’s so near the Chain and yet it’s so different, scarcely anyone living up here at all, it seems."" <br><br> Then once in Utica, she should check her bag and he would follow her out to the nearest quiet corner. <br><br> For as she could see Ruza tried to nudge or lean against Clyde whenever he came sufficiently near.",theodore-dreiser_an-american-tragedy
father,"So he announced that his father conducted a hotel in Denver - not so very large, but still a hotel. <br><br> It’s a wonder, if Father thinks he’s so able, that he don’t make a real position for him somewhere. <br><br> I have so very little money to do with, and your father’s not very much of a help to me any more.",theodore-dreiser_an-american-tragedy
concern,"How different to Rita and Zella with whom his thought so recently had been disturbedly concerned. <br><br> Of course,""she said a little dubiously, and for the first time nervously, where he was concerned. <br><br> The conventions of this local world were much too strong - even where her mother was concerned.",theodore-dreiser_an-american-tragedy
mind,"She might depend on that, at least, although even then there was no thought in his mind of marriage. <br><br> His mind was troubled with hard, abrasive thoughts as to what the druggist might think, look or say. <br><br> But its pathetic significance by that time deeply impressed on the minds and hearts of the jurymen.",theodore-dreiser_an-american-tragedy
course,"For Mason had told her, of course, and all those others, when he had gone back to secure his things. <br><br> Since you’re innocent, you have no real reason to be frightened - although you’re sorry, of course. <br><br> You recall, of course, the words of the Avon bard - ‘Thrice armed is he who hath his quarrel just.’",theodore-dreiser_an-american-tragedy
permit,"At the same time, the natural coquetry of her nature would not permit her to relinquish him. <br><br> Besides, there’s a rule of the company that doesn’t permit him to, as long as I work there. <br><br> She could not permit any thoughts in regard to his recent or present attitude to delay her.",theodore-dreiser_an-american-tragedy
nervous,"And so now, mustering what nervous strength he had, and drawing near to Sondra, he said:""Too bad, eh?"" <br><br> He clinched his hands in a nervous way, for in Mason’s eyes he now clearly foresaw tragedy in some form. <br><br> ""And he won’t strike people as a very steady or convincing fellow, I’m afraid - too nervous and emotional.""",theodore-dreiser_an-american-tragedy
far,"But he would not even go so far as to guarantee him that an opening would immediately be forthcoming. <br><br> About as far from here to that end, I guess,""he lied, stretching the distance by at least eight feet. <br><br> At the same time he was not inclined to be too unsympathetic in that respect toward her - far from it.",theodore-dreiser_an-american-tragedy
able,"Yet here she was asking him and apparently assuming that he might be able to assist her in this way. <br><br> Yet, so quickly had she come and gone in the mass of people that he had not been able to make sure. <br><br> Jerry threw a shoe and must have picked up a splinter, but John doesn’t seem to be able to find it.",theodore-dreiser_an-american-tragedy
cousin,"I’ll bet anything it’s because of him that the Griffiths won’t have anything to do with their cousin. <br><br> And the fact that his cousin Gilbert was not present at the moment gave him the courage to say it. <br><br> This is Clyde Griffiths, the nephew of Samuel Griffiths, Mr. Gilbert Griffiths’ cousin, you know.",theodore-dreiser_an-american-tragedy
note,"And then noting his glumness, Hortense came over, executing a phase of the""Grizzly""as she did so. <br><br> And Hortense, noting his sudden tenseness and unrest, added:""Don’t you think you’ll make it all right?"" <br><br> And shocked by the comment - and noting the curious eyes of the jury, Clyde took it in his hand.",theodore-dreiser_an-american-tragedy
prove,"For, being susceptible, as he might well be at that age, he might prove too easy - not stern enough. <br><br> ""Yes, I think Mason would have a hard time proving that they weren’t made that way,""replied Belknap. <br><br> Also it was plain that she was not going to prove as useful to Grace as they had at first imagined.",theodore-dreiser_an-american-tragedy
draw,"And so now, mustering what nervous strength he had, and drawing near to Sondra, he said:""Too bad, eh?"" <br><br> He drew a line where his real name should be and underneath wrote""you know""and mailed the letter. <br><br> He drew out his watch again and saying,""I’ll have to be going now, though,""moved toward the door.",theodore-dreiser_an-american-tragedy
foot,"The girl appears to be not more than twenty-five, five feet five inches tall, and weighs 130 pounds. <br><br> About as far from here to that end, I guess,""he lied, stretching the distance by at least eight feet. <br><br> She stamped her foot and struck her boot, the while the two horses looked idly and vacantly about.",theodore-dreiser_an-american-tragedy
merely,"But instead she merely said:""Oh, I wish you could have been with me all the time in Lycurgus, Mamma. <br><br> She merely looked at him dubiously, wondering what could be the result of such an infatuation as this. <br><br> What were they?""asked Glenn interestedly, and, after he had learned, merely commented:""Oh, those.",theodore-dreiser_an-american-tragedy
hold,"""Here’s a dollar bill, son,""said the eye seemingly - and now a hand appeared holding a paper dollar. <br><br> Who knew but that he might be making a great mistake in holding such free and easy contacts as this. <br><br> After an hour, his mother came out, her basket apparently empty, for she held it lightly in her hand.",theodore-dreiser_an-american-tragedy
reach,"And always he was thinking of what he would do, once he reached the place where he could get away. <br><br> But reaching home, and after writing and mailing the letter to Ratterer, Clyde passed a troubled night. <br><br> And then, that point having been reached, the jury rising and filing from the room at five in the afternoon.",theodore-dreiser_an-american-tragedy
word,"You recall, of course, the words of the Avon bard - ‘Thrice armed is he who hath his quarrel just.’ <br><br> And here he had been ever since - ""very quiet, of course,""but no one had ever said a word to him. <br><br> But he was silent now with a tightly restrained silence which he was afraid to liberate in words.",theodore-dreiser_an-american-tragedy
wonder,"It’s a wonder, if Father thinks he’s so able, that he don’t make a real position for him somewhere. <br><br> She merely looked at him dubiously, wondering what could be the result of such an infatuation as this. <br><br> ""Really?""inquired Clyde, very much astonished and wondering if such luck would ever come to him.",theodore-dreiser_an-american-tragedy
circumstance,"For a more dynamic and electric prosecutor under these particular circumstances was not to be found. <br><br> Also that he was more generous and considerate than under the circumstances she feared he would be. <br><br> And yet, under the circumstances, being truly grateful, she now smiled cordially and he the same.",theodore-dreiser_an-american-tragedy
possible,"Could it be possible that he would be admitted to such a grand world as this - and that so speedily? <br><br> She was thinking she would like to get in without her companion, if possible - with her, if need be. <br><br> None of the inhibitions which the dominance and possible future opposition of her parents might imply.",theodore-dreiser_an-american-tragedy
voice,"Yet she said this with a kind of sternness that somehow belied it - a click of the voice, as it were. <br><br> But say,"" - he lowered his voice most significantly at this point - ""we’da got that if they’d got us. <br><br> She talked as though she were addressing a meeting, but with a hard, sad, frozen face and voice.",theodore-dreiser_an-american-tragedy
dark,"Hiding away like that and waiting in the dark and pretending that you had just come up from Albany. <br><br> And at the west end, a raised platform, with a highly ornamental, dark brown carved bench upon it. <br><br> He was tall and dark and sorta awkward, and awfully pale, but very handsome - oh, a regular movie hero.",theodore-dreiser_an-american-tragedy
lip,"They say not,""she pursed her lips dubiously, herself rather interested in Clyde along with the others. <br><br> ""Well, I gotta date, but I don’t want to keep it,""she went on with a contemptuous gathering of the lips. <br><br> And Clyde unconsciously wet his dry lips with his tongue and swallowed to moisten his already dry throat.",theodore-dreiser_an-american-tragedy
scarcely,"""It’s so near the Chain and yet it’s so different, scarcely anyone living up here at all, it seems."" <br><br> Only a few weeks ago he was all alone, not a boy friend, scarcely a boy acquaintance in the world! <br><br> And yet so wrought up were his thoughts that he scarcely realized then that he had drunk it.",theodore-dreiser_an-american-tragedy
compel,"Its chief mental content appeared to be one of opposition to being compelled by him to do anything. <br><br> Yet even so he was compelled to brace himself in order to make even an acceptable showing, vocally. <br><br> And so Brookhart was compelled to assure Belknap that this line of defense would have to be abandoned.",theodore-dreiser_an-american-tragedy
exclaim,"""For God’s sake,""exclaimed Gilbert,""hasn’t he anything better than that to offer, the little fool!"" <br><br> If there is a God,""he exclaimed excitedly,""He will not let such a scoundrel as this go unpunished! <br><br> And exclaiming with difficulty, as a lump thickened in his throat:""Gee, Ma! I’m glad you’ve come.""",theodore-dreiser_an-american-tragedy
doubt,"And his own parents so wretched - so poor, preaching on the streets of Kansas City and no doubt Denver. <br><br> For no doubt, as he now argued with himself, Smillie, having talked with Mason, would think him guilty. <br><br> And day after day and night after night more of this, no doubt, until, maybe - who could tell - unless.",theodore-dreiser_an-american-tragedy
dress,"Very spry and well-dressed, more like a young society man than anything else, and very standoffish. <br><br> And at the command of Barnes, the eight who were present were ordered to rise, right dress and march away. <br><br> Her plan was to wait until the Newtons and Grace had departed for church and then swiftly dress and leave.",theodore-dreiser_an-american-tragedy
guilty,"And obviously, as the days passed and the newspaper writers at the trial saw it, Clyde was guilty. <br><br> In that large crowd out there there was not one who did not believe him totally and completely guilty. <br><br> For no doubt, as he now argued with himself, Smillie, having talked with Mason, would think him guilty.",theodore-dreiser_an-american-tragedy
